ind,var_name,var_description,var_value,var_unit,var_alg,var_need,v_linked
95,no_of_cr,Total control rods,53,1,NULL,NULL,NULL
96,no_of_crd,Total control rod drives,57,1,NULL,NULL,NULL
97,c_cr_per_unit_fac,unit cost of rod,0.06,million,NULL,NULL,NULL
98,c_crd_per_unit_fac,unit cost of rod drive,0.61152,million,NULL,NULL,NULL
99,c_220A.224_cs_weight_plate,weight of the carbon steel pressurizer,97.3,ton,NULL,NULL,NULL
100,c_220A.224_ss_weight,weight of the stainless steel pressurizer,3.3,ton,NULL,NULL,NULL
101,c_237_lab,Turbine plant miscellaneous items labor cost,13.13086529,million,NULL,NULL,NULL
102,c_237_mat,Turbine plant miscellaneous items material cost,9.795178491,million,NULL,NULL,NULL
103,ref_228_lab,Reactor plant miscellaneous items labor cost,4.27308,million,NULL,NULL,NULL
104,ref_228_mat,Reactor plant miscellaneous items material cost,3.179195,million,NULL,NULL,NULL
105,ref_236_fac,Reactor instrumentation and control factory cost,1.86804,million,NULL,NULL,NULL
106,ref_236_lab,Reactor instrumentation and control labor cost,4.591575,million,NULL,NULL,NULL
107,ref_236_mat,Reactor instrumentation and control material cost,0.394597083,million,NULL,NULL,NULL
108,ref_253_fac,Communications equipment factory cost,1.9488,million,NULL,NULL,NULL
109,ref_253_lab,Communications equipment labor cost,3.873139,million,NULL,NULL,NULL
110,ref_253_mat,Communications equipment material cost,0.593107,million,NULL,NULL,NULL
111,ref_221.14_mat,Transport To Site (Field Cost 221) material cost,5.5385,million,NULL,NULL,NULL
112,ref_220A.254_fac,Fuel Storage Racks  (NSSS) factory cost,4.4835,million,NULL,NULL,NULL
113,c_220A.225_ss_weight,weight of the stainless steel pressurizer relief tank  (NSSS),5.97,ton,NULL,NULL,NULL
114,c_220A.2324_ss_weight,weight of the stainless steel boron injection surge tank  (NSSS),0.14742,ton,NULL,NULL,NULL
115,c_220A.2322_tot_weight,total weight of accumulator tank  (NSSS),36.2874,ton,NULL,NULL,NULL
116,prn_220A.2322cs,portion of weight made by carbon steel accumulator tank  (NSSS),0.87,1,NULL,NULL,NULL
117,prn_220A.2322ss,portion of weight made by stainless steel  accumulator tank  (NSSS),0.13,1,NULL,NULL,NULL
118,no_of_acu,number of accumulator tank,4,1,NULL,NULL,NULL
119,c_220A.2323_tot_weight,total weight of Boron injection tank   (NSSS),9.07185,ton,NULL,NULL,NULL
120,prn_220A.2323cs,portion of weight made by carbon steel Boron injection tank   (NSSS),0.9,1,NULL,NULL,NULL
121,prn_220A.2323ss,portion of weight made by stainless steel  Boron injection tank   (NSSS),0.1,1,NULL,NULL,NULL
122,no_of_bit,number of Boron injection tank,1,1,NULL,NULL,NULL
123,c_220A.251_cs_weight,weight of the carbon steel parts of the fuel handling tools  (NSSS),0,ton,NULL,NULL,NULL
124,c_220A.251_ss_weight,weight of the stainless steel cladding of the fuel handling tools  (NSSS),0.15,ton,NULL,NULL,NULL
125,factor_220A.251,factor to calculate fuel handling tool,8.6,1,NULL,NULL,NULL
126,c_220A.2312_cs_weight,weight of the carbon steel parts of the residual heat removal heat exchanger  (NSSS),5.26168,ton,NULL,NULL,NULL
127,c_220A.2312_ss_weight,weight of the stainless steel cladding of the residual heat removal heat exchanger  (NSSS),7.89252,ton,NULL,NULL,NULL
128,factor_220A.2312,facility number of residual heat removal heat exchanger  (NSSS),2,1,NULL,NULL,NULL
129,vol_223.4,volume of Containment Spray System (Field Cost 223),86488,m^3,NULL,NULL,NULL
130,c_223.4_unit_vol_fac,unit volume cost of containment spray system (Field Cost 223) for factory cost,100.8568057,dollar/m^3,NULL,NULL,NULL
131,c_223.4_unit_vol_lab,unit volume cost of containment spray system (Field Cost 223) for labor cost,68.21002196,dollar/m^3,NULL,NULL,NULL
132,c_223.4_unit_vol_mat,unit volume cost of containment spray system (Field Cost 223) for material cost,6.850324226,dollar/m^3,NULL,NULL,NULL
133,escalate_1978,escalator 1978 to 2017,6.72,1,NULL,NULL,NULL
134,ref_220A.254_1978,Fuel Storage Racks  (NSSS) cost from Combustion Engineering (1978),0.374,million,NULL,NULL,NULL
135,c_226.4111_fac,factory cost of pump 226.4111,0.012369,million,NULL,NULL,NULL
136,c_226.4112_fac,factory cost of pump 226.4112,0.009969,million,NULL,NULL,NULL
137,c_226.41131_fac,factory cost of pump 226.41131,0.009315,million,NULL,NULL,NULL
138,c_226.41132_fac,factory cost of pump 226.41132,1.550825,million,NULL,NULL,NULL
139,c_226.4114_fac,factory cost of pump 226.4114,0.621445,million,NULL,NULL,NULL
140,c_226.41151_fac,factory cost of pump 226.41151,0.009969,million,NULL,NULL,NULL
141,c_226.41152_fac,factory cost of pump 226.41152,0.009315,million,NULL,NULL,NULL
142,c_226.4121_fac,factory cost of pump 226.4121,0.365595,million,NULL,NULL,NULL
143,c_226.4122_fac,factory cost of pump 226.4122,0.264535,million,NULL,NULL,NULL
144,c_226.4123_fac,factory cost of pump 226.4123,0.326246,million,NULL,NULL,NULL
145,c_226.4124_fac,factory cost of pump 226.4124,0.445745,million,NULL,NULL,NULL
146,c_226.4125_fac,factory cost of pump 226.4125,0.489879,million,NULL,NULL,NULL
147,c_226.4126_fac,factory cost of pump 226.4126,0.176357,million,NULL,NULL,NULL
148,c_226.4127_fac,factory cost of pump 226.4127,0.32332,million,NULL,NULL,NULL
149,c_226.4128_fac,factory cost of pump 226.4128,0.059058,million,NULL,NULL,NULL
150,c_226.4133_fac,factory cost of pump 226.4133,0.667914,million,NULL,NULL,NULL
151,c_226.4134_fac,factory cost of pump 226.4134,0.044225,million,NULL,NULL,NULL
152,c_226.4135_fac,factory cost of pump 226.4135,0.421841,million,NULL,NULL,NULL
153,c_226.4131_fac,factory cost of pump 226.4131,0.011249,million,NULL,NULL,NULL
154,c_226.4141_fac,factory cost of pump 226.4141,0.44012,million,NULL,NULL,NULL
155,c_226.4142_fac,factory cost of pump 226.4142,0.22006,million,NULL,NULL,NULL
156,c_226.4143_fac,factory cost of pump 226.4143,0.017,million,NULL,NULL,NULL
157,c_226.4144_fac,factory cost of pump 226.4144,0.017,million,NULL,NULL,NULL
158,c_226.4145_fac,factory cost of pump 226.4145,1.757669,million,NULL,NULL,NULL
159,c_251.12_fac,factory cost of Cont. build,7.3,million,NULL,NULL,NULL
160,c_251.111_fac,factory cost of Turbine room,3.65,million,NULL,NULL,NULL
161,c_251.112_fac,factory cost of Heater bay,1.46,million,NULL,NULL,NULL
162,c_251.16_fac,factory cost of Various,0.88,million,NULL,NULL,NULL
163,c_251.17_fac,factory cost of Diesel building,1.23,million,NULL,NULL,NULL
164,c_251.12_lab,labor cost of Cont. build,1.19,million,NULL,NULL,NULL
165,c_251.111_lab,labor cost of Turbine room,0.42,million,NULL,NULL,NULL
166,c_251.112_lab,labor cost of Heater bay,0.17,million,NULL,NULL,NULL
167,c_251.16_lab,labor cost of Various,0.56,million,NULL,NULL,NULL
168,c_251.17_lab,labor cost of Diesel building,0.1,million,NULL,NULL,NULL
169,c_251.12_mat,material cost of Cont. build,0.12,million,NULL,NULL,NULL
170,c_251.111_mat,material cost of Turbine room,0.04,million,NULL,NULL,NULL
171,c_251.112_mat,material cost of Heater bay,0.02,million,NULL,NULL,NULL
172,c_251.16_mat,material cost of Various,0.06,million,NULL,NULL,NULL
173,c_251.17_mat,material cost of Diesel building,0.01,million,NULL,NULL,NULL
174,fac_223.1,factor to calculate RHR System,0.85,1,NULL,NULL,NULL
175,prn_223.1_fac,factory cost prtion of RHR,0.436094856,1,NULL,NULL,NULL
176,prn_223.1_lab,labor cost prtion of RHR,0.51502725,1,NULL,NULL,NULL
177,prn_223.1_mat,material cost prtion of RHR,0.048877893,1,NULL,NULL,NULL
178,c_220A.2311_fac,factory cost of residual heat removal Pumps & Drives (NSSS),1.94000166,million,NULL,NULL,NULL
179,c_220A.2312_fac,factory cost of residual heat removal Heat Exchanger  (NSSS),6.260001859,million,NULL,NULL,NULL
180,fac_223.3,factor to calculate safety injection system,0.58,1,NULL,NULL,NULL
181,prn_223.3_fac,factory cost prtion of safety injection system,0.360489103,1,NULL,NULL,NULL
182,prn_223.3_lab,labor cost prtion of safety injection system,0.547767283,1,NULL,NULL,NULL
183,prn_223.3_mat,material cost prtion of safety injection system,0.091743613,1,NULL,NULL,NULL
184,c_220A.2321_fac,factory cost of Safety Injection Pumps And Drives  (NSSS),1.720001794,million,NULL,NULL,NULL
185,c_220A.2322_fac,factory cost of Accumulator Tank  (NSSS),15.30000486,million,NULL,NULL,NULL
186,c_220A.2323_fac,factory cost of Boron Injection Tank  (NSSS),0.899999448,million,NULL,NULL,NULL
187,c_220A.2324_fac,factory cost of Boron Injection Surge Tank  (NSSS),0.050001394,million,NULL,NULL,NULL
188,c_220A.2325_fac,factory cost of Boron Injection Recirc. Pump & Drives (NSSS),0.039999975,million,NULL,NULL,NULL
189,c_218B_fac,Placeholder,2.337579893,million,NULL,NULL,NULL
190,c_218J_fac,Placeholder,0.094628806,million,NULL,NULL,NULL
191,c_218T_fac,Placeholder,0.121724293,million,NULL,NULL,NULL
192,c_220A.2311_fac,Placeholder,1.94000166,million,NULL,NULL,NULL
193,c_220A.2321_fac,Placeholder,1.720001794,million,NULL,NULL,NULL
194,c_220A.2325_fac,Placeholder,0.039999975,million,NULL,NULL,NULL
195,c_218B_lab,Placeholder,9.663946677,million,NULL,NULL,NULL
196,c_218J_lab,Placeholder,15.05977373,million,NULL,NULL,NULL
197,c_218T_lab,Placeholder,8.910343825,million,NULL,NULL,NULL
198,c_218B_mat,Placeholder,6.93662252,million,NULL,NULL,NULL
199,c_218J_mat,Placeholder,7.26234892,million,NULL,NULL,NULL
200,c_218T_mat,Placeholder,4.065434178,million,NULL,NULL,NULL
201,CPI,The Consumer Price Index,2.2,1,NULL,NULL,infl
202,Void_fraction,Void fraction of the inside of the containment ,0.917,1,NULL,NULL,Internal_v_m3
203,liner_fraction,liner fraction of containment,1,1,NULL,NULL,Liner_s_m2
204,Cont_H_tot_m,Containment total height ,66.7512,m,NULL,NULL,Cont_H_wall_m
205,Cont_rad_out_m,Containment outside radius ,23.0124,m,NULL,NULL,"Cont_H_wall_m,Cont_rad_in_m,Basemat_s_m2,Walls_s_m2,Walls_v_m3,Dome_rad_in_m,Dome_s_m2,Dome_v_m3,Surf_paint_m2"
206,Cont_shell_t_m,Shell wall thickness ,1.3716,m,NULL,NULL,Cont_rad_in_m
207,Cont_H_wall_m,Containment wall height ,43.7388,m,wall_height,"Cont_H_tot_m,Cont_rad_out_m","Walls_s_m2,Walls_v_m3,Intern_tot_v_m3,Inside_liner_s,Surf_paint_m2"
208,Basemat_t_m,Basemat thickness ,3.048,m,NULL,NULL,Basemat_v_m3
209,Dome_t_m,Dome thickness ,1.0668,m,NULL,NULL,Dome_rad_in_m
210,Intern_wall_t,Internal wall average thickness ,1.2192,m,NULL,NULL,Internal_s_m2
211,React_cav_A_m2,Reactor cavity area ,1021.93344,m^2,NULL,NULL,"Total_Labor_React_cav_liner,Total_Mat_React_cav_liner"
212,Cont_rad_in_m,Containment inside radius ,21.6408,m,inside_rad,"Cont_rad_out_m,Cont_shell_t_m","Walls_s_m2,Walls_v_m3,Intern_tot_v_m3,Inside_liner_s"
213,Basemat_s_m2,Basemat surface,1663.694961,m^2,round_surface,Cont_rad_out_m,"Basemat_v_m3,Total_Labor_Constr_joints_Substr,Total_Labor_Formwork_Substr,Total_Labor_Waterproofing_Substr,Total_Labor_Welded_wire_fabric_Substr,Total_Mat_Constr_joints_Substr,Total_Mat_Formwork_Substr,Total_Mat_Waterproofing_Substr,Total_Mat_Welded_wire_fabric_Substr"
214,Basemat_v_m3,Basemat volume,5070.942242,m^3,basemat_volume,"Basemat_s_m2,Basemat_t_m","Struct_v_m3,Total_Labor_Cadweld_Substr,Total_Labor_Concrete_Substr,Total_Labor_Embedded_steel_Substr,Total_Labor_Reinforc_steel_Substr,Total_Mat_Cadweld_Substr,Total_Mat_Concrete_Substr,Total_Mat_Embedded_steel_Substr,Total_Mat_Reinforc_steel_Substr"
215,Walls_s_m2,Walls surface,12271.54712,m^2,walls_surface,"Cont_H_wall_m,Cont_rad_out_m,Cont_rad_in_m","Total_Labor_Constr_joints_Superstr,Total_Labor_Formwork_Superstr,Total_Labor_Rubbing_surfaces_Superstr,Total_Labor_Waterproofing_Superstr,Total_Mat_Constr_joints_Superstr,Total_Mat_Formwork_Superstr,Total_Mat_Rubbing_surfaces_Superstr,Total_Mat_Waterproofing_Superstr"
216,Walls_v_m3,Walls volume,8415.827018,m^3,wall_volume,"Cont_H_wall_m,Cont_rad_out_m,Cont_rad_in_m","Struct_v_m3,Total_Labor_Cadweld_Superstr,Total_Labor_Concrete_Superstr,Total_Labor_Embedded_steel_Superstr,Total_Labor_Reinforc_steel_Superstr,Total_Mat_Cadweld_Superstr,Total_Mat_Concrete_Superstr,Total_Mat_Embedded_steel_Superstr,Total_Mat_Reinforc_steel_Superstr"
217,Dome_rad_in_m,Dome inside radius ,21.9456,m,inside_rad,"Cont_rad_out_m,Dome_t_m","Dome_s_m2,Dome_v_m3,Intern_tot_v_m3,Inside_liner_s"
218,Dome_s_m2,Roof surface,6353.430773,m^2,roof_surface,"Cont_rad_out_m,Dome_rad_in_m","Total_Labor_Constr_joints_Dome,Total_Labor_Formwork_Dome,Total_Labor_Rubbing_surfaces_Dome,Total_Labor_Waterproofing_Dome,Total_Mat_Constr_joints_Dome,Total_Mat_Formwork_Dome,Total_Mat_Rubbing_surfaces_Dome,Total_Mat_Waterproofing_Dome"
219,Dome_v_m3,Roof volume,3387.648588,m^3,roof_volume,"Cont_rad_out_m,Dome_rad_in_m","Struct_v_m3,Total_Labor_Cadweld_Dome,Total_Labor_Concrete_Dome,Total_Labor_Embedded_steel_Dome,Total_Labor_Reinforc_steel_Dome,Total_Mat_Cadweld_Dome,Total_Mat_Concrete_Dome,Total_Mat_Embedded_steel_Dome,Total_Mat_Reinforc_steel_Dome"
220,Intern_tot_v_m3,Tot intenal Volume,86488.28818,m^3,tot_internal_volume,"Cont_rad_in_m,Cont_H_wall_m,Dome_rad_in_m","Internal_v_m3,Total_Labor_Lighting_Power,Total_Labor_Plumb_drains,Total_Labor_Special_HVAC,Total_Labor_other,Total_Labor_fl_grate_handrail_stairs,Total_Mat_Lighting_Power,Total_Mat_Plumb_drains,Total_Mat_Special_HVAC,Total_Mat_other,Total_Mat_fl_grate_handrail_stairs"
221,Internal_v_m3,Building internal volume,7178.527919,m^3,building_internal_volume,"Intern_tot_v_m3,Void_fraction","Internal_s_m2,Struct_v_m3,Total_Labor_Cadweld_Interior,Total_Labor_Concrete_Interior,Total_Labor_Embedded_steel_Interior,Total_Labor_Maj_supp_embedments_Interior,Total_Labor_Reinforc_steel_Interior,Total_Mat_Cadweld_Interior,Total_Mat_Concrete_Interior,Total_Mat_Embedded_steel_Interior,Total_Mat_Maj_supp_embedments_Interior,Total_Mat_Reinforc_steel_Interior"
222,Internal_s_m2,Building internal surface,11775.80039,m^2,building_internal _surface,"Internal_v_m3,Intern_wall_t","Surf_paint_m2,Total_Labor_Constr_joints_Interior,Total_Labor_Formwork_Interior,Total_Labor_Rubbing_surfaces_Interior,Total_Mat_Constr_joints_Interior,Total_Mat_Formwork_Interior,Total_Mat_Rubbing_surfaces_Interior"
223,Struct_v_m3,volume of the structures ,24052.94577,m^3,volume_of_the_structures ,"Basemat_v_m3,Walls_v_m3,Dome_v_m3,Internal_v_m3","Total_Labor_Misc_steel_frames,Total_Labor_Struct_steel,Total_Mat_Misc_steel_frames,Total_Mat_Struct_steel"
224,Inside_liner_s,Inside liner surface,10444.6275,m^2,Inside_liner_surface,"Cont_rad_in_m,Cont_H_wall_m,Dome_rad_in_m","Liner_s_m2,Surf_paint_m2,"
225,Liner_s_m2,Liner Surface,10444.6275,m^2,liner_Surface,"Inside_liner_s,liner_fraction","Total_Labor_cont_liner,Total_Mat_cont_liner"
226,Surf_paint_m2,painted surface,31872.06223,m^2,painted_surface,"Inside_liner_s,Cont_H_wall_m,Cont_rad_out_m,Internal_s_m2","Total_Labor_painting,Total_Mat_painting"
227,infl,Inflation rate,2.870501004,1,Inflation_rate,CPI,"Unit_Labor_Cadweld_Substr,Unit_Labor_Cadweld_Superstr,Unit_Labor_Cadweld_Dome,Unit_Labor_Cadweld_Interior,Unit_Labor_Concrete_Substr,Unit_Labor_Concrete_Superstr,Unit_Labor_Concrete_Dome,Unit_Labor_Concrete_Interior,Unit_Labor_Constr_joints_Substr,Unit_Labor_Constr_joints_Superstr,Unit_Labor_Constr_joints_Dome,Unit_Labor_Constr_joints_Interior,Unit_Labor_Embedded_steel_Substr,Unit_Labor_Embedded_steel_Superstr,Unit_Labor_Embedded_steel_Dome,Unit_Labor_Embedded_steel_Interior,Unit_Labor_Formwork_Substr,Unit_Labor_Formwork_Superstr,Unit_Labor_Formwork_Dome,Unit_Labor_Formwork_Interior,Unit_Labor_Maj_supp_embedments_Interior,Unit_Labor_Reinforc_steel_Substr,Unit_Labor_Reinforc_steel_Superstr,Unit_Labor_Reinforc_steel_Dome,Unit_Labor_Reinforc_steel_Interior,Unit_Labor_Rubbing_surfaces_Superstr,Unit_Labor_Rubbing_surfaces_Dome,Unit_Labor_Rubbing_surfaces_Interior,Unit_Labor_Waterproofing_Substr,Unit_Labor_Waterproofing_Superstr,Unit_Labor_Waterproofing_Dome,Unit_Labor_Welded_wire_fabric_Substr,Unit_Labor_Lighting_Power,Unit_Labor_Plumb_drains,Unit_Labor_Special_HVAC,Unit_Labor_other,Unit_Labor_Misc_steel_frames,Unit_Labor_React_cav_liner,Unit_Labor_Struct_steel,Unit_Labor_cont_liner,Unit_Labor_fl_grate_handrail_stairs,Unit_Labor_painting,Unit_Mat_Cadweld_Substr,Unit_Mat_Cadweld_Superstr,Unit_Mat_Cadweld_Dome,Unit_Mat_Cadweld_Interior,Unit_Mat_Concrete_Substr,Unit_Mat_Concrete_Superstr,Unit_Mat_Concrete_Dome,Unit_Mat_Concrete_Interior,Unit_Mat_Constr_joints_Substr,Unit_Mat_Constr_joints_Superstr,Unit_Mat_Constr_joints_Dome,Unit_Mat_Constr_joints_Interior,Unit_Mat_Embedded_steel_Substr,Unit_Mat_Embedded_steel_Superstr,Unit_Mat_Embedded_steel_Dome,Unit_Mat_Embedded_steel_Interior,Unit_Mat_Formwork_Substr,Unit_Mat_Formwork_Superstr,Unit_Mat_Formwork_Dome,Unit_Mat_Formwork_Interior,Unit_Mat_Maj_supp_embedments_Interior,Unit_Mat_Reinforc_steel_Substr,Unit_Mat_Reinforc_steel_Superstr,Unit_Mat_Reinforc_steel_Dome,Unit_Mat_Reinforc_steel_Interior,Unit_Mat_Rubbing_surfaces_Superstr,Unit_Mat_Rubbing_surfaces_Dome,Unit_Mat_Rubbing_surfaces_Interior,Unit_Mat_Waterproofing_Substr,Unit_Mat_Waterproofing_Superstr,Unit_Mat_Waterproofing_Dome,Unit_Mat_Welded_wire_fabric_Substr,Unit_Mat_Lighting_Power,Unit_Mat_Plumb_drains,Unit_Mat_Special_HVAC,Unit_Mat_other,Unit_Mat_Misc_steel_frames,Unit_Mat_React_cav_liner,Unit_Mat_Struct_steel,Unit_Mat_cont_liner,Unit_Mat_fl_grate_handrail_stairs,Unit_Mat_painting"
228,Unit_EEDB_Labor_Cadweld_Substr,Unit cost of Labor Cadweld Substructure (base mat) in EEDB,85.46,dollar/m^3,NULL,NULL,Unit_Labor_Cadweld_Substr
229,Unit_EEDB_Labor_Cadweld_Superstr,Unit cost of Labor Cadweld Superstructure (shell) in EEDB,114.62,dollar/m^3,NULL,NULL,Unit_Labor_Cadweld_Superstr
230,Unit_EEDB_Labor_Cadweld_Dome,Unit cost of Labor Cadweld Superstructure (dome) in EEDB,231.09,dollar/m^3,NULL,NULL,Unit_Labor_Cadweld_Dome
231,Unit_EEDB_Labor_Cadweld_Interior,Unit cost of Labor Cadweld Interior structure in EEDB,48.2,dollar/m^3,NULL,NULL,Unit_Labor_Cadweld_Interior
232,Unit_EEDB_Labor_Concrete_Substr,Unit cost of Labor Concrete Substructure (base mat) in EEDB,72.52,dollar/m^3,NULL,NULL,Unit_Labor_Concrete_Substr
233,Unit_EEDB_Labor_Concrete_Superstr,Unit cost of Labor Concrete Superstructure (shell) in EEDB,87.39,dollar/m^3,NULL,NULL,Unit_Labor_Concrete_Superstr
234,Unit_EEDB_Labor_Concrete_Dome,Unit cost of Labor Concrete Superstructure (dome) in EEDB,78.02,dollar/m^3,NULL,NULL,Unit_Labor_Concrete_Dome
235,Unit_EEDB_Labor_Concrete_Interior,Unit cost of Labor Concrete Interior structure in EEDB,97.57,dollar/m^3,NULL,NULL,Unit_Labor_Concrete_Interior
236,Unit_EEDB_Labor_Constr_joints_Substr,Unit cost of Labor Construction joints Substructure (base mat) in EEDB,14.51,dollar/m^2,NULL,NULL,Unit_Labor_Constr_joints_Substr
237,Unit_EEDB_Labor_Constr_joints_Superstr,Unit cost of Labor Construction joints Superstructure (shell) in EEDB,12.44,dollar/m^2,NULL,NULL,Unit_Labor_Constr_joints_Superstr
238,Unit_EEDB_Labor_Constr_joints_Dome,Unit cost of Labor Construction joints Superstructure (dome) in EEDB,4.75,dollar/m^2,NULL,NULL,Unit_Labor_Constr_joints_Dome
239,Unit_EEDB_Labor_Constr_joints_Interior,Unit cost of Labor Construction joints Interior structure in EEDB,2.05,dollar/m^2,NULL,NULL,Unit_Labor_Constr_joints_Interior
240,Unit_EEDB_Labor_Embedded_steel_Substr,Unit cost of Labor Embedded steel Substructure (base mat) in EEDB,3.98,dollar/m^3,NULL,NULL,Unit_Labor_Embedded_steel_Substr
241,Unit_EEDB_Labor_Embedded_steel_Superstr,Unit cost of Labor Embedded steel Superstructure (shell) in EEDB,15.98,dollar/m^3,NULL,NULL,Unit_Labor_Embedded_steel_Superstr
242,Unit_EEDB_Labor_Embedded_steel_Dome,Unit cost of Labor Embedded steel Superstructure (dome) in EEDB,0,dollar/m^3,NULL,NULL,Unit_Labor_Embedded_steel_Dome
243,Unit_EEDB_Labor_Embedded_steel_Interior,Unit cost of Labor Embedded steel Interior structure in EEDB,337.14,dollar/m^3,NULL,NULL,Unit_Labor_Embedded_steel_Interior
244,Unit_EEDB_Labor_Formwork_Substr,Unit cost of Labor Formwork Substructure (base mat) in EEDB,93.11,dollar/m^2,NULL,NULL,Unit_Labor_Formwork_Substr
245,Unit_EEDB_Labor_Formwork_Superstr,Unit cost of Labor Formwork Superstructure (shell) in EEDB,109.83,dollar/m^2,NULL,NULL,Unit_Labor_Formwork_Superstr
246,Unit_EEDB_Labor_Formwork_Dome,Unit cost of Labor Formwork Superstructure (dome) in EEDB,58.66,dollar/m^2,NULL,NULL,Unit_Labor_Formwork_Dome
247,Unit_EEDB_Labor_Formwork_Interior,Unit cost of Labor Formwork Interior structure in EEDB,231.52,dollar/m^2,NULL,NULL,Unit_Labor_Formwork_Interior
248,Unit_EEDB_Labor_Maj_supp_embedments_Interior,Unit cost of Labor Major Support Embedments Interior structure in EEDB,153.53,dollar/m^3,NULL,NULL,Unit_Labor_Maj_supp_embedments_Interior
249,Unit_EEDB_Labor_Reinforc_steel_Substr,Unit cost of Labor Reinforc steel Substructure (base mat) in EEDB,322.55,dollar/m^3,NULL,NULL,Unit_Labor_Reinforc_steel_Substr
250,Unit_EEDB_Labor_Reinforc_steel_Superstr,Unit cost of Labor Reinforc steel Superstructure (shell) in EEDB,326.13,dollar/m^3,NULL,NULL,Unit_Labor_Reinforc_steel_Superstr
251,Unit_EEDB_Labor_Reinforc_steel_Dome,Unit cost of Labor Reinforc steel Superstructure (dome) in EEDB,300.56,dollar/m^3,NULL,NULL,Unit_Labor_Reinforc_steel_Dome
252,Unit_EEDB_Labor_Reinforc_steel_Interior,Unit cost of Labor Reinforc steel Interior structure in EEDB,306.72,dollar/m^3,NULL,NULL,Unit_Labor_Reinforc_steel_Interior
253,Unit_EEDB_Labor_Rubbing_surfaces_Superstr,Unit cost of Labor Rubbing surfaces Superstructure (shell) in EEDB,8.32,dollar/m^2,NULL,NULL,Unit_Labor_Rubbing_surfaces_Superstr
254,Unit_EEDB_Labor_Rubbing_surfaces_Dome,Unit cost of Labor Rubbing surfaces Superstructure (dome) in EEDB,5.74,dollar/m^2,NULL,NULL,Unit_Labor_Rubbing_surfaces_Dome
255,Unit_EEDB_Labor_Rubbing_surfaces_Interior,Unit cost of Labor Rubbing surfaces Interior structure in EEDB,9.91,dollar/m^2,NULL,NULL,Unit_Labor_Rubbing_surfaces_Interior
256,Unit_EEDB_Labor_Waterproofing_Substr,Unit cost of Labor Waterproofing Substructure (base mat) in EEDB,4.58,dollar/m^2,NULL,NULL,Unit_Labor_Waterproofing_Substr
257,Unit_EEDB_Labor_Waterproofing_Superstr,Unit cost of Labor Waterproofing Superstructure (shell) in EEDB,0.84,dollar/m^2,NULL,NULL,Unit_Labor_Waterproofing_Superstr
258,Unit_EEDB_Labor_Waterproofing_Dome,Unit cost of Labor Waterproofing Superstructure (dome) in EEDB,0,dollar/m^2,NULL,NULL,Unit_Labor_Waterproofing_Dome
259,Unit_EEDB_Labor_Welded_wire_fabric_Substr,Unit cost of Labor Welded wire fabric Substructure (base mat) in EEDB,10.07,dollar/m^2,NULL,NULL,Unit_Labor_Welded_wire_fabric_Substr
260,Unit_EEDB_Labor_Lighting_Power,Unit cost of Labor Lighting Power in EEDB,9.83,dollar/m^3,NULL,NULL,Unit_Labor_Lighting_Power
261,Unit_EEDB_Labor_Plumb_drains,Unit cost of Labor Plumb drains in EEDB,3.02,dollar/m^3,NULL,NULL,Unit_Labor_Plumb_drains
262,Unit_EEDB_Labor_Special_HVAC,Unit cost of Labor Special HVAC in EEDB,11.09,dollar/m^3,NULL,NULL,Unit_Labor_Special_HVAC
263,Unit_EEDB_Labor_other,Unit cost of Labor other in EEDB,0.53,dollar/m^3,NULL,NULL,Unit_Labor_other
264,Unit_EEDB_Labor_Misc_steel_frames,Unit cost of Labor miscellaneous steel frames in EEDB,9.94,dollar/m^3,NULL,NULL,Unit_Labor_Misc_steel_frames
265,Unit_EEDB_Labor_React_cav_liner,Unit cost of Labor Reactor cavity liner plate in EEDB,745.94,dollar/m^2,NULL,NULL,Unit_Labor_React_cav_liner
266,Unit_EEDB_Labor_Struct_steel,Unit cost of Labor Struct steel in EEDB,13.98,dollar/m^3,NULL,NULL,Unit_Labor_Struct_steel
267,Unit_EEDB_Labor_cont_liner,Unit cost of Labor Containment liner in EEDB,780.33,dollar/m^2,NULL,NULL,Unit_Labor_cont_liner
268,Unit_EEDB_Labor_fl_grate_handrail_stairs,"Unit cost of Labor Floor grating (galvanized), Handrail, Stair treads in EEDB",1.75,dollar/m^3,NULL,NULL,Unit_Labor_fl_grate_handrail_stairs
269,Unit_EEDB_Labor_painting,Unit cost of Labor painting in EEDB,86.8,dollar/m^2,NULL,NULL,Unit_Labor_painting
270,Unit_EEDB_Mat_Cadweld_Substr,Unit cost of Material Cadweld Substructure (base mat) in EEDB,44.32,dollar/m^3,NULL,NULL,Unit_Mat_Cadweld_Substr
271,Unit_EEDB_Mat_Cadweld_Superstr,Unit cost of Material Cadweld Superstructure (shell) in EEDB,59.44,dollar/m^3,NULL,NULL,Unit_Mat_Cadweld_Superstr
272,Unit_EEDB_Mat_Cadweld_Dome,Unit cost of Material Cadweld Superstructure (dome) in EEDB,119.85,dollar/m^3,NULL,NULL,Unit_Mat_Cadweld_Dome
273,Unit_EEDB_Mat_Cadweld_Interior,Unit cost of Material Cadweld Interior structure in EEDB,25,dollar/m^3,NULL,NULL,Unit_Mat_Cadweld_Interior
274,Unit_EEDB_Mat_Concrete_Substr,Unit cost of Material Concrete Substructure (base mat) in EEDB,79.1,dollar/m^3,NULL,NULL,Unit_Mat_Concrete_Substr
