ind,cost_element,cost_2017,sup_cost_ele,alg_name,fun_unit,variables,account,algno,updated
164,223.3_lab,5687570,223_lab,factor_sum,million,"fac_223.3, prn_223.3_lab, c_220A.2321_fac, c_220A.2322_fac, c_220A.2323_fac, c_220A.2324_fac, c_220A.2325_fac",223.3,22,0
165,223.4_lab,5857020,223_lab,unit_volume,million,"c_223.4_unit_vol_lab, vol_223.4",223.4,9,0
166,223.5_lab,564893,223_lab,NO_ALG,million,N/A,223.5,N/A,0
167,223_lab,15616900,22_lab,NO_ALG,million,N/A,223,N/A,0
168,224_lab,11434300,22_lab,esc_1987,million,"escalate_1987, ref_224_lab",224,12,0
169,225_lab,2444480,22_lab,NO_ALG,million,N/A,225,N/A,0
170,226.1_lab,1342510,226_lab,NO_ALG,million,N/A,226.1,N/A,0
171,226.3_lab,1563980,226_lab,NO_ALG,million,N/A,226.3,N/A,0
172,226.4_lab,18621600,226_lab,MWth_scale,million,"c_226.4_lab, mwth, scale_1.0",226.4,8,0
173,226.6_lab,48049,226_lab,NO_ALG,million,N/A,226.6,N/A,0
174,226.7_lab,24625600,226_lab,MWth_scale,million,"c_226.7_lab, mwth, scale_1.0",226.7,8,0
175,226.8_lab,1519680,226_lab,NO_ALG,million,N/A,226.8,N/A,0
176,226.9_lab,716141,226_lab,NO_ALG,million,N/A,226.9,N/A,0
177,226_lab,47112100,22_lab,NO_ALG,million,N/A,226,N/A,0
178,227_lab,21960900,22_lab,esc_1987,million,"escalate_1987, ref_227_lab",227,12,0
179,228_lab,12175700,22_lab,esc_1987,million,"escalate_1987, ref_228_lab",228,12,0
180,22_lab,139612000,2_lab,NO_ALG,million,N/A,22,N/A,0
181,231_lab,21746100,23_lab,ptn_account,million,"c_231_fac, prn_fac_231_lab",231,4,0
182,233_lab,22964300,23_lab,MWth_scale,million,"c_233_lab, mwth, scale_0.8",233,8,0
183,234_lab,20317400,23_lab,MWth_scale,million,"c_234_lab, mwth, scale_0.8",234,8,0
184,235_lab,28326900,23_lab,ptn_account,million,"c_231_lab, prn_235_of_231_lab",235,4,0
185,236_lab,13083300,23_lab,esc_1987,million,"escalate_1987, ref_236_lab",236,12,0
186,237_lab,13130900,23_lab,MWth_scale,million,"c_237_lab, mwth, scale_0.8",237,8,0
187,23_lab,119569000,2_lab,NO_ALG,million,N/A,23,N/A,0
188,241_lab,1720620,24_lab,MWe_scale,million,"c_241_lab, mwe, scale_0.4",241,17,0
189,242_lab,4446170,24_lab,MWe_scale,million,"c_242_lab, mwe, scale_0.4",242,17,0
190,243_lab,1005350,24_lab,NO_ALG,million,N/A,243,N/A,0
191,244_lab,7102570,24_lab,NO_ALG,million,N/A,244,N/A,0
192,245_lab,51236700,24_lab,MWe_scale,million,"c_245_lab, mwe, scale_0.4",245,17,0
193,246_lab,33434500,24_lab,MWe_scale,million,"c_246_lab, mwe, scale_0.4",246,17,0
194,24_lab,98945900,2_lab,NO_ALG,million,N/A,24,N/A,0
195,251_lab,2420360,25_lab,sum_multi_accounts,million,"c_251.12_lab, c_251.111_lab, c_251.112_lab, c_251.16_lab, c_251.17_lab",251,1,0
196,252_lab,44371800,25_lab,esc_1987,million,"escalate_1987, ref_252_lab",252,12,0
197,253_lab,11036100,25_lab,esc_1987,million,"escalate_1987, ref_253_lab",253,12,0
198,254_lab,1431940,25_lab,NO_ALG,million,N/A,254,N/A,0
199,255_lab,5369350,25_lab,NO_ALG,million,N/A,255,N/A,0
200,25_lab,64629600,2_lab,NO_ALG,million,N/A,25,N/A,0
201,261_lab,7642620,26_lab,NO_ALG,million,N/A,261,N/A,0
202,262_lab,35896600,26_lab,MWth_scale,million,"c_262_lab, mwth, scale_0.8",262,8,0
203,26_lab,43539200,2_lab,NO_ALG,million,N/A,26,N/A,0
204,2_lab,789741000,,NO_ALG,million,N/A,2,N/A,0
205,211_mat,29075000,21_mat,esc_1987,million,"escalate_1987, ref_211_mat",211,12,0
206,212_mat,80750981,21_mat,containment,million,Tot_Mat_containment,212,7,0
207,213_mat,32364600,21_mat,MWth_scale,million,"c_213_mat, mwth, scale_0.8",213,8,0
208,214_mat,1046670,21_mat,NO_ALG,million,N/A,214,N/A,0
209,215_mat,13705900,21_mat,NO_ALG,million,N/A,215,N/A,0
210,216_mat,13371100,21_mat,NO_ALG,million,N/A,216,N/A,0
211,217_mat,12470500,21_mat,NO_ALG,million,N/A,217,N/A,0
212,218A_mat,15541700,218_mat,NO_ALG,million,N/A,218A,N/A,0
213,218B_mat,6936620,218_mat,complex,million,c_218B_mat,218B,23,0
214,218D_mat,421468,218_mat,NO_ALG,million,N/A,218D,N/A,0
215,218E_mat,2182870,218_mat,NO_ALG,million,N/A,218E,N/A,0
216,218F_mat,635078,218_mat,NO_ALG,million,N/A,218F,N/A,0
217,218G_mat,45485,218_mat,NO_ALG,million,N/A,218G,N/A,0
218,218H_mat,648326,218_mat,NO_ALG,million,N/A,218H,N/A,0
219,218J_mat,7262350,218_mat,complex,million,c_218J_mat,218J,23,0
220,218K_mat,321342,218_mat,NO_ALG,million,N/A,218K,N/A,0
221,218L_mat,684428,218_mat,NO_ALG,million,N/A,218L,N/A,0
222,218P_mat,149161,218_mat,NO_ALG,million,N/A,218P,N/A,0
223,218S_mat,784185,218_mat,NO_ALG,million,N/A,218S,N/A,0
224,218T_mat,4065430,218_mat,complex,million,c_218T_mat,218T,23,0
225,218V_mat,80718,218_mat,NO_ALG,million,N/A,218V,N/A,0
226,218_mat,39759100,21_mat,NO_ALG,million,N/A,218,N/A,0
227,21_mat,184361000,2_mat,NO_ALG,million,N/A,21,N/A,0
228,220A.211_mat,0,220A_mat,default_0,million,N/A,220A.211,14,0
229,220A.2121_mat,0,220A_mat,default_0,million,N/A,220A.2121,14,0
230,220A.2122_mat,0,220A_mat,default_0,million,N/A,220A.2122,14,0
231,220A.2131_mat,0,220A_mat,default_0,million,N/A,220A.2131,14,0
232,220A.2132_mat,0,220A_mat,default_0,million,N/A,220A.2132,14,0
233,220A.221_mat,0,220A_mat,default_0,million,N/A,220A.221,14,0
234,220A.222_mat,0,220A_mat,default_0,million,N/A,220A.222,14,0
235,220A.223_mat,0,220A_mat,default_0,million,N/A,220A.223,14,0
236,220A.224_mat,0,220A_mat,default_0,million,N/A,220A.224,14,0
237,220A.225_mat,0,220A_mat,default_0,million,N/A,220A.225,14,0
238,220A.2311_mat,0,220A_mat,default_0,million,N/A,220A.2311,14,0
239,220A.2312_mat,0,220A_mat,default_0,million,N/A,220A.2312,14,0
240,220A.2321_mat,0,220A_mat,default_0,million,N/A,220A.2321,14,0
241,220A.2322_mat,0,220A_mat,default_0,million,N/A,220A.2322,14,0
242,220A.2323_mat,0,220A_mat,default_0,million,N/A,220A.2323,14,0
243,220A.2324_mat,0,220A_mat,default_0,million,N/A,220A.2324,14,0
244,220A.2325_mat,0,220A_mat,default_0,million,N/A,220A.2325,14,0
245,220A.251_mat,0,220A_mat,default_0,million,N/A,220A.251,14,0
246,220A.254_mat,0,220A_mat,default_0,million,N/A,220A.254,14,0
247,220A.2611_mat,0,220A_mat,default_0,million,N/A,220A.2611,14,0
248,220A.2612_mat,0,220A_mat,default_0,million,N/A,220A.2612,14,0
249,220A.2613_mat,0,220A_mat,default_0,million,N/A,220A.2613,14,0
250,220A.2614_mat,0,220A_mat,default_0,million,N/A,220A.2614,14,0
251,220A.262_mat,0,220A_mat,default_0,million,N/A,220A.262,14,0
252,220A.27_mat,0,220A_mat,default_0,million,N/A,220A.27,14,0
253,220A_mat,0,0_mat,default_0,million,N/A,220A,14,0
254,221.11_mat,144807,221_mat,NO_ALG,million,N/A,221.11,N/A,0
255,221.12_mat,639771,221_mat,cost_by_weight,million,"c_221.12_tol_weight, c_rpv_mat",221.12,13,0
256,221.13_mat,154890,221_mat,NO_ALG,million,N/A,221.13,N/A,0
257,221.14_mat,15781400,221_mat,esc_1987,million,"escalate_1987, ref_221.14_mat",221.14,12,0
258,221.21_mat,132931,221_mat,NO_ALG,million,N/A,221.21,N/A,0
259,221_mat,16853800,22_mat,NO_ALG,million,N/A,221,N/A,0
260,222.11_mat,437412,222_mat,MWth_scale,million,"c_222.11_mat, mwth, scale_1.0",222.11,8,0
261,222.12_mat,1119110,222_mat,MWth_scale,million,"c_222.12_mat, mwth, scale_1.0",222.12,8,0
262,222.13_mat,210628,222_mat,unit_facility,million,"no_of_sg, c_SG_per_unit_mat",222.13,16,0
263,222.14_mat,28193,222_mat,MWth_scale,million,"c_222.14_mat, mwth, scale_1.0",222.14,8,0
264,222_mat,1795340,22_mat,MWth_scale,million,"c_222_mat, mwth, scale_1.0",222,8,0
265,223.1_mat,332871,223_mat,factor_sum,million,"fac_223.1, prn_223.1_mat, c_220A.2311_fac, c_220A.2312_fac",223.1,22,0
266,223.3_mat,952591,223_mat,factor_sum,million,"fac_223.3, prn_223.3_mat, c_220A.2321_fac, c_220A.2322_fac, c_220A.2323_fac, c_220A.2324_fac, c_220A.2325_fac",223.3,22,0
267,223.4_mat,588220,223_mat,unit_volume,million,"c_223.4_unit_vol_mat, vol_223.4",223.4,9,0
268,223.5_mat,55563,223_mat,NO_ALG,million,N/A,223.5,N/A,0
269,223_mat,1929240,22_mat,NO_ALG,million,N/A,223,N/A,0
270,224_mat,2191180,22_mat,esc_1987,million,"escalate_1987, ref_224_mat",224,12,0
271,225_mat,301394,22_mat,NO_ALG,million,N/A,225,N/A,0
272,226.1_mat,132534,226_mat,NO_ALG,million,N/A,226.1,N/A,0
273,226.3_mat,414455,226_mat,NO_ALG,million,N/A,226.3,N/A,0
274,226.4_mat,2705780,226_mat,MWth_scale,million,"c_226.4_mat, mwth, scale_1.0",226.4,8,0
275,226.6_mat,2402,226_mat,NO_ALG,million,N/A,226.6,N/A,0
276,226.7_mat,2393290,226_mat,MWth_scale,million,"c_226.7_mat, mwth, scale_1.0",226.7,8,0
277,226.8_mat,0,226_mat,default_0,million,N/A,226.8,14,0
278,226.9_mat,77122,226_mat,NO_ALG,million,N/A,226.9,N/A,0
279,226_mat,7044000,22_mat,NO_ALG,million,N/A,226,N/A,0
280,227_mat,1920500,22_mat,esc_1987,million,"escalate_1987, ref_227_mat",227,12,0
281,228_mat,9058820,22_mat,esc_1987,million,"escalate_1987, ref_228_mat",228,12,0
282,22_mat,41094300,2_mat,NO_ALG,million,N/A,22,N/A,0
283,231_mat,3998110,23_mat,ptn_account,million,"c_231_fac, prn_fac_231_mat",231,4,0
284,233_mat,3277750,23_mat,MWth_scale,million,"c_233_mat, mwth, scale_0.8",233,8,0
285,234_mat,2022430,23_mat,MWth_scale,million,"c_234_mat, mwth, scale_0.8",234,8,0
286,235_mat,3432270,23_mat,ptn_account,million,"c_231_mat, prn_235_of_231_mat",235,4,0
287,236_mat,1124370,23_mat,esc_1987,million,"escalate_1987, ref_236_mat",236,12,0
288,237_mat,9795180,23_mat,MWth_scale,million,"c_237_mat, mwth, scale_0.8",237,8,0
289,23_mat,23650100,2_mat,NO_ALG,million,N/A,23,N/A,0
290,241_mat,251723,24_mat,MWe_scale,million,"c_241_mat, mwe, scale_0.4",241,17,0
291,242_mat,849719,24_mat,MWe_scale,million,"c_242_mat, mwe, scale_0.4",242,17,0
292,243_mat,355156,24_mat,NO_ALG,million,N/A,243,N/A,0
293,244_mat,5039850,24_mat,NO_ALG,million,N/A,244,N/A,0
294,245_mat,12309900,24_mat,MWe_scale,million,"c_245_mat, mwe, scale_0.4",245,17,0
295,246_mat,20755500,24_mat,MWe_scale,million,"c_246_mat, mwe, scale_0.4",246,17,0
