ind,code_of_account,account_description,total_cost,level,supaccount,review_status,prn,alg_name,fun_unit,variables
34,22214,TF_intercoil_structure_cost_(M$),150045051.6,4,2221,Unchanged,0.027162722,acc22214,million,"aintmass, ucint, lsa, i_tf_sup"
35,22215,TF_coil_gravity_support_structure_(M$),45440398.23,4,2221,Unchanged,0.008226095,acc22215,million,"clgsmass, ucgss, lsa, i_tf_sup"
36,2222,PF_magnet_assemblies_cost_(M$),680800177,3,222,Unchanged,0.123245557,acc2222,million,
37,22221,PF_coil_conductor_cost_(M$),466068431.2,4,2222,Unchanged,0.084372574,acc22221,million,"ipfres, cconshpf, iohcl, nohc, ucsc_0, ucsc_1, ucsc_2, ucsc_3, ucsc_4, ucsc_5, ucsc_6, ucsc_7, ucsc_8, isumatpf, fcupfsu, vf, ric_0, ric_1, ric_2, ric_3, ric_4, ric_5, ric_6, turns_0, turns_1, turns_2, turns_3, turns_4, turns_5, turns_6, rjconpf_0, rjconpf_1, rjconpf_2, rjconpf_3, rjconpf_4, rjconpf_5, rjconpf_6, rjconpf_7, dcond_0, dcond_1, dcond_2, dcond_3, dcond_4, dcond_5, dcond_6, dcond_7, dcond_8, uccu, dcopper, cconfix, twopi, rpf_0, rpf_1, rpf_2, rpf_3, rpf_4, rpf_5, rpf_6, lsa, isumatoh, awpoh, vfohc, fcuohsu"
38,22222,PF_coil_winding_cost_(M$),77130237.29,4,2222,Unchanged,0.013962921,acc22222,million,"ucwindpf, lsa, twopi, rpf_0, rpf_1, rpf_2, rpf_3, rpf_4, rpf_5, rpf_6, turns_0, turns_1, turns_2, turns_3, turns_4, turns_5, turns_6, nohc"
39,22223,PF_coil_case_cost_(M$),129551313.8,4,2222,Unchanged,0.023452732,acc22223,million,"uccase, whtpfs, lsa"
40,22224,PF_coil_support_structure_cost_(M$),8050194.63,4,2222,Unchanged,0.00145733,acc22224,million,"ucfnc, fncmass, lsa"
41,2223,Vacuum_vessel_assembly_cost_(M$),254042123.8,3,222,Unchanged,0.045989358,acc2223,million,"vvmass, uccryo, lsa"
42,223,Total_account_223_cost_(M$),241046837.7,2,22,Unchanged,0.043636816,acc223,million,
43,2231,ECH_system_cost_(M$),241046837.7,3,223,Unchanged,0.043636816,acc2231,million,"ucech, echpwr, exprf, ifedrv, dcdrv1, dcdrv2, cdriv1, mcdriv, edrive, etadrv, dcdrv0, cdriv0 ,cdriv3, fcdfuel"
44,2232,Lower_hybrid_system_cost_(M$),0,3,223,Unchanged,0,acc2232,million,"iefrf, uclh, plhybd, exprf, ucich"
45,2233,Neutral_beam_system_cost_(M$),0,3,223,Unchanged,0,acc2233,million,"ucnbi, exprf, fcdfuel"
46,224,Total_account_224_cost_(M$),26934799.04,2,22,Unchanged,0.004876019,acc224,million,
47,2241,High_vacuum_pumps_cost_(M$),12480000,3,224,Unchanged,0.00225926,acc2241,million,"vpumpn, uccpmp, uctpmp, ntype"
48,2242,Backing_pumps_cost_(M$),4680000,3,224,Unchanged,0.000847222,acc2242,million,"nvduct, ucbpmp"
49,2243,Vacuum_duct_cost_(M$),2590254.5,3,224,Unchanged,0.000468915,acc2243,million,"nvduct, dlscal, ucduct"
50,2244,Valves_cost_(M$),5884544.54,3,224,Unchanged,0.001065282,acc2244,million,"nvduct, vcdimax, ucvalv"
51,2245,Duct_shielding_cost_(M$),0,3,224,Unchanged,0,acc2245,million,"nvduct, vacdshm, ucvdsh"
52,2246,Instrumentation_cost_(M$),1300000,3,224,Unchanged,0.00023534,acc2246,million,ucviac
53,225,Total_account_225_cost_(M$),154876266,2,22,Unchanged,0.028037319,acc225,million,
54,2251,"Total,_TF_coil_power_costs_(M$)",98208291.45,3,225,Unchanged,0.01777869,acc2251,million,
55,22511,TF_coil_power_supplies_cost_(M$),3967323.07,4,2251,Unchanged,0.000718206,acc22511,million,"uctfps, tfckw, tfcmw, expel"
56,22512,TF_coil_breakers_cost_(M$),34112697.55,4,2251,Unchanged,0.006175437,acc22512,million,"uctfbr, n_tf, cpttf, vtfskv, expel, uctfsw"
57,22513,TF_coil_dump_resistors_cost_(M$),21125590.34,4,2251,Unchanged,0.003824375,acc22513,million,"uctfdr, estotftgj, uctfgr, n_tf"
58,22514,TF_coil_instrumentation_and_control_(M$),4800000,4,2251,Unchanged,0.000868946,acc22514,million,"uctfic, n_tf, "
59,22515,TF_coil_bussing_cost_(M$),34202680.49,4,2251,Unchanged,0.006191726,acc22515,million,"uctfbus, tfbusmas, ucbus, cpttf, tfbusl"
60,2252,"Total,_PF_coil_power_costs_(M$)",39768511.04,3,225,Unchanged,0.007199311,acc2252,million,
61,22521,PF_coil_power_supplies_cost_(M$),2932371.33,4,2252,Unchanged,0.000530848,acc22521,million,"ucpfps, peakmva"
62,22522,PF_coil_instrumentation_and_control_(M$),3600000,4,2252,Unchanged,0.00065171,acc22522,million,"ucpfic, pfckts"
63,22523,PF_coil_bussing_cost_(M$),11995200,4,2252,Unchanged,0.002171496,acc22523,million,"ucpfb, spfbusl, acptmax"
64,22524,PF_coil_burn_power_supplies_cost_(M$),1267929.14,4,2252,Unchanged,0.000229534,acc22524,million,"ucpfbs, pfckts, srcktpm"
65,22525,PF_coil_breakers_cost_(M$),14709370.28,4,2252,Unchanged,0.002662844,acc22525,million,"ucpfbk, pfckts, acptmax, vpfskv"
66,22526,PF_coil_dump_resistors_cost_(M$),4363640.29,4,2252,Unchanged,0.000789952,acc22526,million,"ucpfdr1, ensxpfm"
67,22527,PF_coil_ac_breakers_cost_(M$),900000,4,2252,Unchanged,0.000162927,acc22527,million,"ucpfcb, pfckts"
