ind,cost_element,cost_2017,sup_cost_ele,alg_name,fun_unit,variables,account,algno
1,211_fac,810015.17,21_fac,esc_1987,million,"escalate_1987, ref_211_fac",211,12
2,212_fac,0,21_fac,default_0,million,N/A,212,N/A
3,213_fac,660388.72,21_fac,MWth_scale,million,"c_213_fac, mwth, scale_0.8",213,8
4,215_fac,2121224.73,21_fac,NO_ALG,million,N/A,215,N/A
5,216_fac,1756069.67,21_fac,NO_ALG,million,N/A,216,N/A
6,217_fac,2842399.83,21_fac,NO_ALG,million,N/A,217,N/A
7,218A_fac,1314294.08,218_fac,NO_ALG,million,N/A,218A,N/A
8,220A.211_fac,127380000,220A_fac,NO_ALG,million,N/A,220A.211,N/A
9,220A.2121_fac,45204200,220A_fac,unit_weights,million,"c_zero, c_220A.2121_ss_weight",220A.2121,5
10,220A.2122_fac,45204200,220A_fac,unit_weights,million,"c_zero, c_220A.2122_ss_weight",220A.2122,5
11,220A.2131_fac,1320000,220A_fac,unit_facility,million,"no_of_cr, c_cr_per_unit_fac",220A.2131,16
12,220A.2132_fac,13453440,220A_fac,unit_facility,million,"no_of_crd, c_crd_per_unit_fac",220A.2132,16
13,220A.221_fac,55696873.29,220A_fac,unit_facility,million,"no_of_rcpump, c_pump_per_unit_fac",220A.221,16
14,220A.222_fac,7464800,220A_fac,unit_weights,million,"c_zero, c_220A.222_ss_weight",220A.222,5
15,220A.223_fac,118647119.8,220A_fac,Sgsum,million,N/A,220A.223,N/A
16,220A.224_fac,1379368.42,220A_fac,MWth_lmfbrscale,million,"r_78_220A224_fac, mwth, scale_1.0",220A.224,24
17,222.11_fac,1101963.79,222_fac,MWth_scale,million,"c_222.11_fac, mwth, scale_1.0",222.11,8
18,222.12_fac,1280778.06,222_fac,MWth_scale,million,"c_222.12_fac, mwth, scale_1.0",222.12,8
19,222.13_fac,21900.68,222_fac,MWth_scale,million,"c_222.13_fac, mwth, scale_1.0",222.13,8
20,222.14_fac,4380.14,222_fac,MWth_scale,million,"c_222.14_fac, mwth, scale_1.0",222.14,8
21,222_fac,2409022.68,22_fac,MWth_scale,million,"c_222_fac, mwth, scale_1.0",222,8
22,224_fac,46047915.43,22_fac,esc_1987,million,"escalate_1987, ref_224_fac",224,12
23,226.4_fac,34304867.39,226_fac,MWth_scale,million,"r_78_226.4_fac, mwth, scale_1.0",226.4,8
24,226.7_fac,0,226_fac,default_0,million,N/A,226.7,14
25,227_fac,37538349.96,22_fac,esc_1987,million,"escalate_1987, ref_227_fac",227,12
26,231_fac,53544604.81,23_fac,dev_factor_ref,million,"c_turbine, scale_tur_231_fac, scale_1.0",231,10
27,233_fac,19829554.55,23_fac,MWreth_scale,million,"c_233_fac, mwreth, scale_0.8",233,25
28,234_fac,0,23_fac,default_0,million,N/A,234,14
29,235_fac,4788444.35,23_fac,ptn_account,million,"c_231_fac, prn_235_of_231_fac",235,4
30,241_fac,20635161.28,24_fac,MWe_scale,million,"c_241_fac, mwe, scale_0.4",241,17
31,242_fac,33563126.13,24_fac,MWe_scale,million,"c_242_fac, mwe, scale_0.4",242,17
