Month,CDF
0,0.0032
1,0.0064
2,0.009600000000000001
3,0.0128
4,0.016
5,0.019200000000000002
6,0.022400000000000003
7,0.029100000000000004
8,0.035800000000000005
9,0.0425
10,0.0492
11,0.0559
12,0.0681
13,0.08349999999999999
14,0.10289999999999999
15,0.11699999999999999
16,0.1309
17,0.1404
18,0.1499
19,0.1602
20,0.1711
21,0.1838
22,0.19799999999999998
23,0.21209999999999998
24,0.22709999999999997
25,0.24129999999999996
26,0.25479999999999997
27,0.2689
28,0.282
29,0.2934
30,0.3039
31,0.3147
32,0.32539999999999997
33,0.33519999999999994
34,0.34589999999999993
35,0.3616999999999999
36,0.3773999999999999
37,0.3928999999999999
38,0.4094999999999999
39,0.4265999999999999
40,0.4444999999999999
41,0.4596999999999999
42,0.4701999999999999
43,0.48049999999999987
44,0.49119999999999986
45,0.5020999999999999
46,0.5130999999999999
47,0.5240999999999999
48,0.5370999999999999
49,0.5481999999999999
50,0.5592999999999999
51,0.5703999999999999
52,0.5813999999999999
53,0.5923999999999999
54,0.6006999999999999
55,0.6089999999999999
56,0.6185999999999999
57,0.6268999999999999
58,0.6350999999999999
59,0.6432999999999999
60,0.6528999999999999
61,0.6621999999999999
62,0.6713999999999999
63,0.6808999999999998
64,0.6904999999999999
65,0.6989999999999998
66,0.7073999999999998
67,0.7174999999999998
68,0.7263999999999998
69,0.7352999999999998
70,0.7441999999999999
71,0.7528999999999999
72,0.7613999999999999
73,0.7697999999999998
74,0.7780999999999998
75,0.7866999999999998
76,0.7952999999999999
77,0.8039
78,0.8123999999999999
79,0.8204999999999999
80,0.8285999999999999
81,0.8366999999999999
82,0.8447999999999999
83,0.8528999999999999
84,0.8600999999999999
85,0.8674999999999998
86,0.8748999999999998
87,0.8822999999999998
88,0.8896999999999997
89,0.8973999999999998
90,0.9050999999999998
91,0.9127999999999998
92,0.9203999999999999
93,0.9279999999999999
94,0.9356
95,0.9432
96,0.9507
97,0.9581999999999999
98,0.9656999999999999
99,0.9731999999999998
100,0.9806999999999998
101,0.9880999999999998
102,0.9943999999999997
103,0.9998999999999997
