country,import_tariff,equipment,material,labor,labor_o_and_m,land,catchall
Korea,0,0.6819389110225764,0.8409575289575291,0.98890958365515,1.0950386607630611,1,0.6273250083046382
China,0.01,0.6586985391766269,0.5783938223938224,0.7852999699594179,0.8700557997970497,1,0.5631517028396841
UAE,0.05,0.50730411686587,0.7364602316602317,1.474063290118221,1.622857453857341,1,0.6761508509189925
Poland,0.05,0.5099601593625498,0.9711196911196911,0.906440230352038,1.0258987371032058,1,0.40358744394618834
El Salvador,0.05,0.40504648074369193,1.0230548262548262,0.9977063587965542,0.9974076900905936,1,0.42
