ind,cost_element,cost_2018,sup_cost_ele,alg_name,fun_unit,variables,account,algno,updated,source_row_type
251,222.1_mat,6775547.253522042,222_mat,,$,,222.1,LPSR_DIRECT,0,rollup_from_subaccounts
252,222.1_lab,65557617.92269158,222_lab,,$,,222.1,LPSR_DIRECT,0,rollup_from_subaccounts
253,222.11_fac,261751656.0231072,222.1_fac,sum_all,$,"ce_222_111_fac, ce_222_119_fac",222.11,LPSR_DIRECT,0,rollup_from_moved_variables
254,222.11_mat,2062689.8654069384,222.1_mat,sum_all,$,"ce_222_111_mat, ce_222_119_mat",222.11,LPSR_DIRECT,0,rollup_from_moved_variables
255,222.11_lab,19106042.54955651,222.1_lab,sum_all,$,"ce_222_111_lab, ce_222_119_lab",222.11,LPSR_DIRECT,0,rollup_from_moved_variables
256,222.12_fac,17383762.474323668,222.1_fac,category_scale,$,"ref_222_12_fac, scale_mc_piping_M, scale_ap1000",222.12,LPSR_DIRECT,0,collapsed_category_scaled
257,222.12_mat,3074663.0927888257,222.1_mat,category_scale,$,"ref_222_12_mat, scale_mc_piping_M, scale_ap1000",222.12,LPSR_DIRECT,0,collapsed_category_scaled
258,222.12_lab,31196327.167452876,222.1_lab,category_scale,$,"ref_222_12_lab, scale_mc_piping_M, scale_ap1000",222.12,LPSR_DIRECT,0,collapsed_category_scaled
259,222.13_fac,427210096.7891255,222.1_fac,sum_all,$,"ce_222_132_fac, ce_222_139_fac",222.13,LPSR_DIRECT,0,rollup_from_moved_variables
260,222.13_mat,1464153.3540223585,222.1_mat,sum_all,$,"ce_222_132_mat, ce_222_139_mat",222.13,LPSR_DIRECT,0,rollup_from_moved_variables
261,222.13_lab,13491236.259220896,222.1_lab,sum_all,$,"ce_222_132_lab, ce_222_139_lab",222.13,LPSR_DIRECT,0,rollup_from_moved_variables
262,222.14_fac,24853040.850058746,222.1_fac,category_scale,$,"ref_222_14_fac, scale_frm_prz_M, scale_ap1000",222.14,LPSR_DIRECT,0,collapsed_category_scaled
263,222.14_mat,174040.94130391945,222.1_mat,category_scale,$,"ref_222_14_mat, scale_frm_prz_M, scale_ap1000",222.14,LPSR_DIRECT,0,collapsed_category_scaled
264,222.14_lab,1764011.9464613018,222.1_lab,category_scale,$,"ref_222_14_lab, scale_frm_prz_M, scale_ap1000",222.14,LPSR_DIRECT,0,collapsed_category_scaled
265,223_fac,72148062.67451558,22_fac,,$,,223,LPSR_DIRECT,0,rollup_from_subaccounts
266,223_mat,7388677.741251616,22_mat,,$,,223,LPSR_DIRECT,0,rollup_from_subaccounts
267,223_lab,67297638.79502927,22_lab,,$,,223,LPSR_DIRECT,0,rollup_from_subaccounts
268,223.1_fac,18418281.295205873,223_fac,category_scale,$,"ref_223_1_fac, scale_P, f_simp_sfgd, scale_ap1000",223.1,LPSR_DIRECT,0,collapsed_category_scaled
269,223.1_mat,1299401.0727045499,223_mat,category_scale,$,"ref_223_1_mat, scale_P, f_simp_sfgd, scale_ap1000",223.1,LPSR_DIRECT,0,collapsed_category_scaled
270,223.1_lab,15488255.723676555,223_lab,category_scale,$,"ref_223_1_lab, scale_P, f_simp_sfgd, scale_ap1000",223.1,LPSR_DIRECT,0,collapsed_category_scaled
271,223.3_fac,36320841.47661212,223_fac,category_scale,$,"ref_223_3_fac, scale_P, f_simp_sfgd, scale_ap1000",223.3,LPSR_DIRECT,0,collapsed_category_scaled
272,223.3_mat,3733013.404787294,223_mat,category_scale,$,"ref_223_3_mat, scale_P, f_simp_sfgd, scale_ap1000",223.3,LPSR_DIRECT,0,collapsed_category_scaled
273,223.3_lab,25197074.7183971,223_lab,category_scale,$,"ref_223_3_lab, scale_P, f_simp_sfgd, scale_ap1000",223.3,LPSR_DIRECT,0,collapsed_category_scaled
274,223.4_fac,13584581.157406867,223_fac,category_scale,$,"ref_223_4_fac, scale_cont_V, f_simp_sfgd, scale_ap1000",223.4,LPSR_DIRECT,0,collapsed_category_scaled
275,223.4_mat,2152428.913790014,223_mat,category_scale,$,"ref_223_4_mat, scale_cont_V, f_simp_sfgd, scale_ap1000",223.4,LPSR_DIRECT,0,collapsed_category_scaled
276,223.4_lab,24270160.37242573,223_lab,category_scale,$,"ref_223_4_lab, scale_cont_V, f_simp_sfgd, scale_ap1000",223.4,LPSR_DIRECT,0,collapsed_category_scaled
277,223.5_fac,3824358.7452907227,223_fac,category_scale,$,"ref_223_5_fac, scale_cont_V, f_simp_sfgd, scale_ap1000",223.5,LPSR_DIRECT,0,collapsed_category_scaled
278,223.5_mat,203834.3499697583,223_mat,category_scale,$,"ref_223_5_mat, scale_cont_V, f_simp_sfgd, scale_ap1000",223.5,LPSR_DIRECT,0,collapsed_category_scaled
279,223.5_lab,2342147.980529879,223_lab,category_scale,$,"ref_223_5_lab, scale_cont_V, f_simp_sfgd, scale_ap1000",223.5,LPSR_DIRECT,0,collapsed_category_scaled
280,224_fac,76474736.4661197,22_fac,,$,,224,LPSR_DIRECT,0,rollup_from_subaccounts
281,224_mat,5387639.165357539,22_mat,,$,,224,LPSR_DIRECT,0,rollup_from_subaccounts
282,224_lab,53606304.77393996,22_lab,,$,,224,LPSR_DIRECT,0,rollup_from_subaccounts
283,224.1_fac,33238835.96017596,224_fac,category_scale,$,"ref_224_1_fac, scale_pri_flow, f_simp_radw, scale_ap1000",224.1,LPSR_DIRECT,0,collapsed_category_scaled
284,224.1_mat,4568113.701132465,224_mat,category_scale,$,"ref_224_1_mat, scale_pri_flow, f_simp_radw, scale_ap1000",224.1,LPSR_DIRECT,0,collapsed_category_scaled
285,224.1_lab,44445569.04742722,224_lab,category_scale,$,"ref_224_1_lab, scale_pri_flow, f_simp_radw, scale_ap1000",224.1,LPSR_DIRECT,0,collapsed_category_scaled
286,224.2_fac,5843796.950513905,224_fac,category_scale,$,"ref_224_2_fac, scale_pri_flow, f_simp_radw, scale_ap1000",224.2,LPSR_DIRECT,0,collapsed_category_scaled
287,224.2_mat,143276.17126208858,224_mat,category_scale,$,"ref_224_2_mat, scale_pri_flow, f_simp_radw, scale_ap1000",224.2,LPSR_DIRECT,0,collapsed_category_scaled
