ind,var_name,var_description,var_value,var_unit,var_alg,var_need,user_input,v_linked
51,uc_frm_prz_M,"Unit-cost coefficient for Pressurizer mass scale, source account 222.14",13128.0,kg,,,0,scale_frm_prz_M
52,uc_frm_S,"Unit-cost coefficient for Surface S scale, source account 212.3",17866.0,m^2,,,0,scale_frm_S
53,uc_frm_S_9_71886e_06,"Unit-cost coefficient for Surface S scale, source account 217.3",17866.0,m^2,,,0,scale_frm_S_9_71886e_06
54,uc_frm_vsl_M,"Unit-cost coefficient for Vessel mass scale, source account 221.1",13128.0,kg,,,0,scale_frm_vsl_M
55,V_of_212_213_215_216_217,"Fill & Backfill (Place/Comp) Volume of 212, 213, 215, 216, 217 for 211.712",336225.0163591613,m^3,,,0,scale_V_of_212_213_215_216_217
56,waste_bldg_bldg_vol,Structural & Miscellaneous Steel Building volume for 216.142,16848.0,m^3,,,0,scale_waste_bldg_bldg_vol
57,waste_bldg_sub_S,Roof Deck Substructure S for 216.144,1296.0,m^2,,,0,scale_waste_bldg_sub_S
58,waste_bldg_sub_vol,Substructure Concrete Substructure volume for 216.13,1555.2,m^3,,,0,scale_waste_bldg_sub_vol
59,waste_bldg_sup_S,Exterior Walls Superstructure S for 216.143,2028.0,m^2,,,0,scale_waste_bldg_sup_S
60,waste_bldg_sup_vol,Concrete Work Superstructure volume for 216.141,1216.8,m^3,,,0,scale_waste_bldg_sup_vol
61,wwt_bldg_bldg_vol,Building volume for 219.142,0.0,m^3,,,0,scale_wwt_bldg_bldg_vol
62,adj_212_14112_lab,Adjustment factor for 212.14112_lab,0.1686319183939024,1,,1,0,
63,adj_212_14122_lab,Adjustment factor for 212.14122_lab,0.4545732208217065,1,,1,0,
64,adj_cont_mat_1_48,"Adjustment factor for 212.14112_mat, 212.14122_mat",1.48,1,,1,0,
65,adj_half,"Adjustment factor for 222.132_fac, 222.132_lab, 222.132_mat, 222.139_fac, 222.139_lab, 222.139_mat",0.5,1,,1,0,
66,adj_none,"Adjustment factor for 212.14111_lab, 212.14111_mat, 212.14117_lab, 212.14117_mat, 212.14121_lab, 212.14121_mat, 212.14127_lab, 212.14127_mat",0.0,1,,1,0,
67,adj_rx_aux_0_25,"Adjustment factor for 222.111_fac, 222.111_lab, 222.111_mat, 222.119_fac, 222.119_lab, 222.119_mat",0.2499999999999999,1,,1,0,
68,count_222_11,Count per plant for 222.11,4.0,1,,1,0,
69,count_222_13,Count per plant for 222.13,2.0,1,,1,0,
70,exp_lin,Linear scaling exponent used by unit-cost/geometry scale laws where exponent = 1,1.0,1,,,0,"scale_adm_bldg_bldg_vol, scale_S, scale_bldg_V, scale_cont_hatch_ms_bldg_vol, scale_cr_dg_bldg_bldg_vol, scale_elec_tunnel_bldg_vol, scale_fuel_stor_bldg_bldg_vol, scale_mc_piping_M, scale_n_crs, scale_pri_aux_bldg_bldg_vol, scale_turb_gen_bldg_sub_vol, scale_V_of_212_213_215_216_217, scale_waste_bldg_bldg_vol, scale_wwt_bldg_bldg_vol"
71,exp_elec_P,"Exponent for Electric power scale, source account 231.",0.8,1,,,0,scale_elec_P
72,exp_P,"Exponent for Plant power scale, source account 212.22; also used for exp_rej_th_P; also used for exp_rx_P; also used for exp_yardwork_rx_P",0.8,1,,,0,scale_P
73,exp_pri_flow,"Exponent for Primary flowrate scale, source account 224.1",0.75,1,,,0,scale_pri_flow
74,exp_rx_D,"Exponent for Reactor diameter (m) scale, source account 221.3",2.0,1,,,0,scale_rx_D
75,exp_sfp_V,"Exponent for SFP volume scale, source account 225.4",0.75,1,,,0,scale_sfp_V
76,exp_tur_plant_equip_elec_P,"Exponent for Electric power scale, source account 241.",0.6,1,,,0,scale_tur_plant_equip_elec_P
77,f_elec_P_ctrl_wir,Passive safety factor: [Electrical] A.246 Power & Control Wiring,0.6050901652907004,1,,,0,"246_fac, 246_mat, 246_lab"
78,f_elec_prot,Passive safety factor: [Electrical] A.244 Protective Equipment,1.0099306954615697,1,,,0,"244_mat, 244_lab"
79,f_elec_st_serv,Passive safety factor: [Electrical] A.242 Station Service Equipment,0.2678830011089926,1,,,0,"242_fac, 242_mat, 242_lab"
80,f_elec_str_wir_cont,Passive safety factor: [Electrical] A.245 Electrical Structures & Wiring Container,0.5783708145703973,1,,,0,"245_mat, 245_lab"
81,f_elec_switchboards,Passive safety factor: [Electrical] A.243 Switchboards,0.9062342772269472,1,,,0,"243_fac, 243_mat, 243_lab"
82,f_elec_swgr,Passive safety factor: [Electrical] A.241 Switchgear,0.548339438854262,1,,,0,"241_fac, 241_mat, 241_lab"
83,f_simp_fuel_hndl,Design simplifications factor: [Simple] A.225 Fuel Handling & Storage,0.52,1,,,0,"225.111_fac, 225.111_mat, 225.111_lab, 225.112_fac, 225.112_mat, 225.112_lab, 225.113_fac, 225.113_mat, 225.113_lab, 225.114_fac, 225.114_mat, 225.114_lab, 225.12_fac, 225.12_mat, 225.12_lab, 225.13_fac, 225.13_mat, 225.13_lab, 225.3_fac, 225.3_mat, 225.3_lab, 225.4_fac, 225.4_mat, 225.4_lab"
84,f_simp_other_rx_equip,Design simplifications factor: [Simple] A.226 Other Reactor Equipment,0.5,1,,,0,"226.1_fac, 226.1_mat, 226.1_lab, 226.3_fac, 226.3_mat, 226.3_lab, 226.4_fac, 226.4_mat, 226.4_lab, 226.6_fac, 226.6_mat, 226.6_lab, 226.71_fac, 226.71_mat, 226.71_lab, 226.72_fac, 226.72_mat, 226.72_lab, 226.8_fac, 226.8_mat, 226.8_lab, 226.9_fac, 226.9_mat, 226.9_lab"
85,f_simp_radw,Design simplifications factor: [Simple] A.224 Radwaste Processing,0.76,1,,,0,"224.1_fac, 224.1_mat, 224.1_lab, 224.2_fac, 224.2_mat, 224.2_lab, 224.3_fac, 224.3_mat, 224.3_lab"
