ind,cost_element,cost_2017,sup_cost_ele,alg_name,fun_unit,variables,account,algno,updated,source_row_type
258,222.12_lab,10930435.76825,222.1_lab,category_scale,$,"ref_222_12_lab, scale_mc_piping_M",222.12,LPSR_DIRECT,1,collapsed_category_scaled
259,222.13_fac,149684047.65844318,222.1_fac,sum_all,$,"ce_222_132_fac, ce_222_139_fac",222.13,LPSR_DIRECT,1,rollup_from_moved_variables
260,222.13_mat,513003.793847437,222.1_mat,sum_all,$,"ce_222_132_mat, ce_222_139_mat",222.13,LPSR_DIRECT,1,rollup_from_moved_variables
261,222.13_lab,4727001.693954208,222.1_lab,sum_all,$,"ce_222_132_lab, ce_222_139_lab",222.13,LPSR_DIRECT,1,rollup_from_moved_variables
262,222.14_fac,8707902.221921742,222.1_fac,category_scale,$,"ref_222_14_fac, scale_frm_prz_M",222.14,LPSR_DIRECT,1,collapsed_category_scaled
263,222.14_mat,60979.72109848157,222.1_mat,category_scale,$,"ref_222_14_mat, scale_frm_prz_M",222.14,LPSR_DIRECT,1,collapsed_category_scaled
264,222.14_lab,618066.9657592648,222.1_lab,category_scale,$,"ref_222_14_lab, scale_frm_prz_M",222.14,LPSR_DIRECT,1,collapsed_category_scaled
265,223_fac,25278929.81229612,22_fac,,$,,223,LPSR_DIRECT,1,rollup_from_subaccounts
266,223_mat,2588813.3250284577,22_mat,,$,,223,LPSR_DIRECT,1,rollup_from_subaccounts
267,223_lab,23579459.025913805,22_lab,,$,,223,LPSR_DIRECT,1,rollup_from_subaccounts
268,223.1_fac,6453318.67364326,223_fac,category_scale,$,"ref_223_1_fac, scale_P, f_simp_sfgd",223.1,LPSR_DIRECT,1,collapsed_category_scaled
269,223.1_mat,455278.5937317083,223_mat,category_scale,$,"ref_223_1_mat, scale_P, f_simp_sfgd",223.1,LPSR_DIRECT,1,collapsed_category_scaled
270,223.1_lab,5426708.837907713,223_lab,category_scale,$,"ref_223_1_lab, scale_P, f_simp_sfgd",223.1,LPSR_DIRECT,1,collapsed_category_scaled
