ind,code_of_account,account_description,total_cost,level,supaccount,review_status,prn,gncoa,gn_level,gn_supaccount,gn_ind
119,227.16,Radwaste Panels & Racks,1445228.69477,4,227.1,Unchanged,,,,,
120,227.17,Local Panels & Cabinets,1408990.85077,4,227.1,Unchanged,,,,,
121,227.18,Instrument Ranks,1476339.54271,4,227.1,Unchanged,,,,,
122,227.19,Alarm System,860471.4618457895,4,227.1,Unchanged,,,,,
123,227.2,Process Computer,7579213.93069,3,227,Unchanged,,,,,
124,227.3,Monitoring Systems,9532951.427863,3,227,Unchanged,,,,,
125,227.4,Plant Control Systems,9165186.129773684,3,227,Unchanged,,,,,
126,227.5,Reactor Plant I&C Tubing & Fitting,12388807.802621054,3,227,Unchanged,,,,,
127,227.9,TMI Instrumentation,10557440.44733684,3,227,Unchanged,,,,,
128,228,Reactor Plant Miscellaneous Items,20363090.952400003,2,22,Unchanged,,,,,
129,229,NuScale Equipment,0.0,2,22,Unchanged,,,,,
130,23,Turbine Plant Equipment,582071127.8542142,1,2,Unchanged,,,,,
131,24,Electric Plant Equipment,145323497.9652463,1,2,Unchanged,,,,,
132,241,Switchgear,14219466.110685391,2,24,Unchanged,,,,,
133,242,Station Service Equipment,11822004.87731828,2,24,Unchanged,,,,,
134,243,Switchboards,3838837.4820732,2,24,Unchanged,,,,,
135,244,Protective Equipment,11024782.82696411,2,24,Unchanged,,,,,
136,245,Electrical Structure & Wiring Container,59454331.82829604,2,24,Unchanged,,,,,
137,246,Power & Control Wiring,44964074.83990929,2,24,Unchanged,,,,,
138,25,Miscellaneous Plant Equipment,130191318.13610315,1,2,Unchanged,,,,,
139,251,Transportation & Lift Equipment,13836789.422923671,2,25,Unchanged,,,,,
140,251.1,Cranes & Hoists,13836789.422923671,3,251,Unchanged,,,,,
141,251.11,Turbine Building Crane,4572276.835791534,4,251.1,Unchanged,,,,,
142,251.12,Reactor Containment Building Crane,6913860.239980926,4,251.1,Unchanged,,,,,
143,251.16,"Miscellaneous Cranes, Hoists, & Monorails",1303643.68226,4,251.1,Unchanged,,,,,
144,251.17,Diesel Building Cranes,1047008.6648912106,4,251.1,Unchanged,,,,,
145,252,"Air, Water, & Steam Service System",91393183.84258994,2,25,Unchanged,,,,,
146,252.1,Air Systems,19732019.795681834,3,252,Unchanged,,,,,
147,252.2,Water Systems,58451713.05875029,3,252,Unchanged,,,,,
148,252.3,Auxiliary Steam System,12454242.347327825,3,252,Unchanged,,,,,
149,252.4,Plant Fuel Oil System,755208.64083,3,252,Unchanged,,,,,
150,253,Communications Equipment,13065286.064605149,2,25,Unchanged,,,,,
151,254,Furnishings & Fixtures,5220797.307084402,2,25,Unchanged,,,,,
152,255,Waste Water Treatment Equipment,6675261.4989,2,25,Unchanged,,,,,
153,26,Main Condenser Heat Reject System,131157402.6261874,1,2,Unchanged,,,,,
154,261,Structures,13486482.692105267,2,26,Unchanged,,,,,
155,262,Mechanical Equipment,117670919.93408212,2,26,Unchanged,,,,,
156,262.1,Heat Rejection System,117670919.93408212,3,262,Unchanged,,,,,
157,262.11,Water Intake Equipment,1153118.5216650292,4,262.1,Unchanged,,,,,
158,262.12,Circulating Water System,37384462.356,4,262.1,Unchanged,,,,,
159,262.13,Cooling Towers,75501373.51504835,4,262.1,Unchanged,,,,,
160,262.14,Cooling Tower Basins,248424.49976584443,4,262.1,Unchanged,,,,,
161,262.15,Main Cooling Tower Makeup & Blowdown System,3383541.0416028965,4,262.1,Unchanged,,,,,
162,219,Reactor Shield Building,0.0,2,21,Unchanged,,,,,
