ind,code_of_account,account_description,total_cost,level,supaccount,review_status,prn,gncoa,gn_level,gn_supaccount,gn_ind
98,225,Fuel Handling & Storage,15044786.65867414,2,22,Unchanged,,,,,
99,225.1,Fuel Handling Tools & Equipment,6627755.881607549,3,225,Unchanged,,,,,
100,225.11,Cranes & Hoists,3816597.04457259,4,225.1,Unchanged,,,,,
101,225.12,Fuel Handling Tools,527467.2508061577,4,225.1,Unchanged,,,,,
102,225.13,Transfer Systems,2283691.586228801,4,225.1,Unchanged,,,,,
103,225.3,Service Platforms,565652.8477431276,3,225,Unchanged,,,,,
104,225.4,"Fuel Storage, Cleaning, & Inspection Equipment",7851377.929323461,3,225,Unchanged,,,,,
105,226,Other Reactor Plant Equipment,217034381.49916795,2,22,Unchanged,,,,,
106,226.1,Inert Gas System,6478973.483468266,3,226,Unchanged,,,,,
107,226.3,Reactor Makeup Water System,8055980.922054843,3,226,Unchanged,,,,,
108,226.4,Coolant Treatment & Recycle,80264413.80225438,3,226,Unchanged,,,,,
109,226.6,Fluid Leak Detection System,683081.5900287407,3,226,Unchanged,,,,,
110,226.7,Auxiliary Cooling System,103529986.76730517,3,226,Unchanged,,,,,
111,226.71,Nuclear Service Water System,64594822.54068118,4,226.7,Unchanged,,,,,
112,226.72,Primary Component Cooling Water,38935164.22662399,4,226.7,Unchanged,,,,,
113,226.8,Maintenance Equipment,14600097.89126898,3,226,Unchanged,,,,,
114,226.9,Sampling Equipment,3421847.04278761,3,226,Unchanged,,,,,
115,227,Reactor Instrumentation & Control,165884743.97171694,2,22,Unchanged,,,,,
116,227.1,"Benchboard, Panels, & Racks",25396701.74235141,3,227,Unchanged,,,,,
117,227.11,NSS Control Board,9566182.470017599,4,227.1,Unchanged,,,,,
118,227.15,HVAC Panels,1014908.0002355119,4,227.1,Unchanged,,,,,
119,227.16,Radwaste Panels & Racks,4124796.8653544546,4,227.1,Unchanged,,,,,
120,227.17,Local Panels & Cabinets,4021371.1958536203,4,227.1,Unchanged,,,,,
121,227.18,Instrument Ranks,4213589.6830765335,4,227.1,Unchanged,,,,,
122,227.19,Alarm System,2455853.527813689,4,227.1,Unchanged,,,,,
123,227.2,Process Computer,21631675.302527957,3,227,Unchanged,,,,,
124,227.3,Monitoring Systems,27207796.46122607,3,227,Unchanged,,,,,
125,227.4,Plant Control Systems,26158165.247678667,3,227,Unchanged,,,,,
126,227.5,Reactor Plant I&C Tubing & Fitting,35358636.16232905,3,227,Unchanged,,,,,
127,227.9,TMI Instrumentation,30131769.05560378,3,227,Unchanged,,,,,
128,228,Reactor Plant Miscellaneous Items,58117870.22589826,2,22,Unchanged,,,,,
129,229,NuScale Equipment,0.0,2,22,Unchanged,,,,,
130,23,Turbine Plant Equipment,1661276981.473502,1,2,Unchanged,,,,,
131,24,Electric Plant Equipment,414764743.48911834,1,2,Unchanged,,,,,
132,241,Switchgear,40583479.59227533,2,24,Unchanged,,,,,
133,242,Station Service Equipment,33740935.83709804,2,24,Unchanged,,,,,
134,243,Switchboards,10956345.435128992,2,24,Unchanged,,,,,
135,244,Protective Equipment,31465601.126271766,2,24,Unchanged,,,,,
136,245,Electrical Structure & Wiring Container,169687359.82378706,2,24,Unchanged,,,,,
137,246,Power & Control Wiring,128331021.67455725,2,24,Unchanged,,,,,
138,25,Miscellaneous Plant Equipment,371576306.841614,1,2,Unchanged,,,,,
139,251,Transportation & Lift Equipment,39491290.09462979,2,25,Unchanged,,,,,
140,251.1,Cranes & Hoists,39491290.09462979,3,251,Unchanged,,,,,
141,251.11,Turbine Building Crane,13049639.291037686,4,251.1,Unchanged,,,,,
142,251.12,Reactor Containment Building Crane,19732703.307493243,4,251.1,Unchanged,,,,,
143,251.16,"Miscellaneous Cranes, Hoists, & Monorails",3720702.0546882707,4,251.1,Unchanged,,,,,
144,251.17,Diesel Building Cranes,2988245.441410582,4,251.1,Unchanged,,,,,
145,252,"Air, Water, & Steam Service System",260843366.58474135,2,25,Unchanged,,,,,
146,252.1,Air Systems,56316743.29113243,3,252,Unchanged,,,,,
147,252.2,Water Systems,166825806.6504147,3,252,Unchanged,,,,,
148,252.3,Auxiliary Steam System,35545391.52213412,3,252,Unchanged,,,,,
149,252.4,Plant Fuel Oil System,2155425.121060117,3,252,Unchanged,,,,,
150,253,Communications Equipment,37289358.5626039,2,25,Unchanged,,,,,
151,254,Furnishings & Fixtures,14900567.948064338,2,25,Unchanged,,,,,
152,255,Waste Water Treatment Equipment,19051723.65157467,2,25,Unchanged,,,,,
153,26,Main Condenser Heat Reject System,374333588.2952605,1,2,Unchanged,,,,,
154,261,Structures,38491487.011269145,2,26,Unchanged,,,,,
155,262,Mechanical Equipment,335842101.28399134,2,26,Unchanged,,,,,
156,262.1,Heat Rejection System,335842101.28399134,3,262,Unchanged,,,,,
157,262.11,Water Intake Equipment,3291091.3551318785,4,262.1,Unchanged,,,,,
158,262.12,Circulating Water System,106698208.86965643,4,262.1,Unchanged,,,,,
159,262.13,Cooling Towers,215486884.4853577,4,262.1,Unchanged,,,,,
160,262.14,Cooling Tower Basins,709023.1474226845,4,262.1,Unchanged,,,,,
161,262.15,Main Cooling Tower Makeup & Blowdown System,9656893.426422631,4,262.1,Unchanged,,,,,
162,219,Reactor Shield Building,0.0,2,21,Unchanged,,,,,
